Video_File,Target_Class,Original_Action,Original_Action_En,Frame_In,Frame_Out,Duration_Frames
"SOK - PGM, International HD - 1. BL 2025-2026 9. Spieltag 1. FC Köln vs. Hamburger SV-009.mp4",None,Torschuss / Torchance,shot at goal,24000,24700,700
"SOK - PGM, International HD - 1. BL 2025-2026 9. Spieltag 1. FC Köln vs. Hamburger SV-009.mp4",foul,Foul,foul,28625,29325,700
"SOK - PGM, International HD - 1. BL 2025-2026 9. Spieltag 1. FC Köln vs. Hamburger SV-009.mp4",None,Torschuss / Torchance,shot at goal,30325,31100,775
"SOK - PGM, International HD - 1. BL 2025-2026 9. Spieltag 1. FC Köln vs. Hamburger SV-009.mp4",foul,Foul,foul,31750,34175,2425
"SOK - PGM, International HD - 1. BL 2025-2026 9. Spieltag 1. FC Köln vs. Hamburger SV-009.mp4",foul,Foul,foul,37150,37775,625
"SOK - PGM, International HD - 1. BL 2025-2026 9. Spieltag 1. FC Köln vs. Hamburger SV-009.mp4",None,Torschuss / Torchance,shot at goal,59400,60175,775
"SOK - PGM, International HD - 1. BL 2025-2026 9. Spieltag 1. FC Köln vs. Hamburger SV-009.mp4",None,Torschuss / Torchance,shot at goal,60525,61175,650
"SOK - PGM, International HD - 1. BL 2025-2026 9. Spieltag 1. FC Köln vs. Hamburger SV-009.mp4",None,Torschuss / Torchance,shot at goal,63350,63950,600
"SOK - PGM, International HD - 1. BL 2025-2026 9. Spieltag 1. FC Köln vs. Hamburger SV-009.mp4",None,Torschuss / Torchance,shot at goal,64600,65300,700
"SOK - PGM, International HD - 1. BL 2025-2026 9. Spieltag 1. FC Köln vs. Hamburger SV-009.mp4",None,Torschuss / Torchance,shot at goal,67300,67700,400
"SOK - PGM, International HD - 1. BL 2025-2026 9. Spieltag 1. FC Köln vs. Hamburger SV-009.mp4",None,Torschuss / Torchance,shot at goal,70325,70750,425
"SOK - PGM, International HD - 1. BL 2025-2026 9. Spieltag 1. FC Köln vs. Hamburger SV-009.mp4",None,Torschuss / Torchance,shot at goal,77225,77850,625
